precision_bits,layer_name,mae,rmse,cosine_similarity,kl_divergence
10,model.layers.0.input,0.0003321190015412867,0.0005088300677016377,0.9999091625213623,2.0638435671571642e-07
10,model.layers.0.input_layernorm.input,0.0003321190015412867,0.0005088300677016377,0.9999091625213623,2.0638435671571642e-07
10,model.layers.0.input_layernorm.output,0.011839502491056919,0.018347512930631638,0.9998987317085266,0.004375107120722532
10,model.layers.0.linear_attn.conv1d.input,0.022532248869538307,0.03343584015965462,0.9999395608901978,0.9836878180503845
10,model.layers.0.linear_attn.conv1d.output,0.004934211727231741,0.01862778142094612,0.9999199509620667,0.19690392911434174
10,model.layers.0.linear_attn.in_proj_a.input,0.011839502491056919,0.018347512930631638,0.9998987317085266,0.004375107120722532
10,model.layers.0.linear_attn.in_proj_a.output,0.04572105407714844,0.056235432624816895,0.9999072551727295,0.0034954696893692017
10,model.layers.0.linear_attn.in_proj_b.input,0.011839502491056919,0.018347512930631638,0.9998987317085266,0.004375107120722532
10,model.layers.0.linear_attn.in_proj_b.output,0.029537390917539597,0.03969723731279373,0.999944269657135,0.007256057113409042
10,model.layers.0.linear_attn.in_proj_qkv.input,0.011839502491056919,0.018347512930631638,0.9998987317085266,0.004375107120722532
10,model.layers.0.linear_attn.in_proj_qkv.output,0.022532248869538307,0.03343584015965462,0.9999399185180664,0.009467235766351223
10,model.layers.0.linear_attn.in_proj_z.input,0.011839502491056919,0.018347512930631638,0.9998987317085266,0.004375107120722532
10,model.layers.0.linear_attn.in_proj_z.output,0.018810931593179703,0.025634517893195152,0.9998742341995239,0.004164369311183691
10,model.layers.0.linear_attn.norm.input,2.637318721099291e-05,0.00011809245188487694,0.9988697171211243,-3.778876767057682e-09
10,model.layers.0.linear_attn.norm.output,0.0018724054098129272,0.004811569582670927,0.9995064735412598,3.236900738556869e-05
10,model.layers.0.linear_attn.out_proj.input,0.0018724054098129272,0.004811569582670927,0.9995064735412598,0.00035492645110934973
10,model.layers.0.linear_attn.out_proj.output,0.001883269869722426,0.002714966656640172,0.9995096325874329,3.574356742319651e-05
10,model.layers.0.linear_attn.output,0.001883269869722426,0.002714966656640172,0.9995096325874329,3.574356742319651e-05
10,model.layers.0.mlp.act_fn.input,0.014318947680294514,0.018676402047276497,0.9991938471794128,0.0017761896597221494
10,model.layers.0.mlp.act_fn.output,0.00550418347120285,0.007981576956808567,0.9988842606544495,0.0004547143180388957
10,model.layers.0.mlp.down_proj.input,0.0018490422517061234,0.003057286608964205,0.9979443550109863,4.7120614908635616e-05
10,model.layers.0.mlp.down_proj.output,0.0014181789010763168,0.0018591798143461347,0.9980598092079163,1.6579931980231777e-05
10,model.layers.0.mlp.gate_proj.input,0.030984103679656982,0.0398097038269043,0.999114990234375,0.005948000121861696
10,model.layers.0.mlp.gate_proj.output,0.014318947680294514,0.018676402047276497,0.9991938471794128,0.0017761896597221494
10,model.layers.0.mlp.input,0.030984103679656982,0.0398097038269043,0.999114990234375,0.005948000121861696
10,model.layers.0.mlp.output,0.0014181789010763168,0.0018591798143461347,0.9980598092079163,1.6579931980231777e-05
10,model.layers.0.mlp.up_proj.input,0.030984103679656982,0.0398097038269043,0.999114990234375,0.005948000121861696
10,model.layers.0.mlp.up_proj.output,0.00954324658960104,0.01210572849959135,0.9987357258796692,0.0007352805696427822
10,model.layers.0.output,0.0022227116860449314,0.0030631194822490215,0.9991945624351501,4.5379125367617235e-05
10,model.layers.0.post_attention_layernorm.input,0.0018420340493321419,0.0026741959154605865,0.9993594288825989,3.25841065205168e-05
10,model.layers.0.post_attention_layernorm.output,0.030984103679656982,0.0398097038269043,0.999114990234375,0.005948000121861696
10,model.layers.1.input,0.0022227116860449314,0.0030631194822490215,0.9991945624351501,4.5379125367617235e-05
10,model.layers.1.input_layernorm.input,0.0022227116860449314,0.0030631194822490215,0.9991945624351501,4.5379125367617235e-05
10,model.layers.1.input_layernorm.output,0.04593554884195328,0.05850621312856674,0.9991111159324646,0.004198938142508268
10,model.layers.1.linear_attn.conv1d.input,0.031504712998867035,0.04466325044631958,0.9994009733200073,3.4208428859710693
10,model.layers.1.linear_attn.conv1d.output,0.004885437898337841,0.017709773033857346,0.9996357560157776,0.2969135046005249
10,model.layers.1.linear_attn.in_proj_a.input,0.04593554884195328,0.05850621312856674,0.9991111159324646,0.004198938142508268
10,model.layers.1.linear_attn.in_proj_a.output,0.09273739159107208,0.1156846210360527,0.999265193939209,0.020915769040584564
10,model.layers.1.linear_attn.in_proj_b.input,0.04593554884195328,0.05850621312856674,0.9991111159324646,0.004198938142508268
10,model.layers.1.linear_attn.in_proj_b.output,0.06371021270751953,0.0820796936750412,0.9994994401931763,0.010476751253008842
10,model.layers.1.linear_attn.in_proj_qkv.input,0.04593554884195328,0.05850621312856674,0.9991111159324646,0.004198938142508268
10,model.layers.1.linear_attn.in_proj_qkv.output,0.031504712998867035,0.04466325044631958,0.9994011521339417,0.08046296238899231
10,model.layers.1.linear_attn.in_proj_z.input,0.04593554884195328,0.05850621312856674,0.9991111159324646,0.004198938142508268
10,model.layers.1.linear_attn.in_proj_z.output,0.037668127566576004,0.05025900527834892,0.9995756149291992,0.011818977072834969
10,model.layers.1.linear_attn.norm.input,4.933387572236825e-06,3.6029879993293434e-05,0.9990248680114746,1.0943040251731873e-08
10,model.layers.1.linear_attn.norm.output,0.0010047567775472999,0.004058323334902525,0.9975175261497498,6.92169396643294e-06
10,model.layers.1.linear_attn.out_proj.input,0.0010047567775472999,0.004058323334902525,0.9975175261497498,6.991493864916265e-05
10,model.layers.1.linear_attn.out_proj.output,0.0012433974770829082,0.0023682296741753817,0.9984550476074219,2.0464332919800654e-05
10,model.layers.1.linear_attn.output,0.0012433974770829082,0.0023682296741753817,0.9984550476074219,2.0464332919800654e-05
10,model.layers.1.mlp.act_fn.input,0.017559662461280823,0.022776193916797638,0.999062180519104,0.0023955663200467825
10,model.layers.1.mlp.act_fn.output,0.006410539150238037,0.009191283024847507,0.9987770915031433,0.0005419909721240401
10,model.layers.1.mlp.down_proj.input,0.002261488465592265,0.003839222714304924,0.9973914623260498,9.783967107068747e-05
10,model.layers.1.mlp.down_proj.output,0.0016077260952442884,0.002387634478509426,0.9977457523345947,3.2023894164012745e-05
10,model.layers.1.mlp.gate_proj.input,0.035752467811107635,0.04622175544500351,0.9989259839057922,0.01281542144715786
10,model.layers.1.mlp.gate_proj.output,0.017559662461280823,0.022776193916797638,0.999062180519104,0.0023955663200467825
10,model.layers.1.mlp.input,0.035752467811107635,0.04622175544500351,0.9989259839057922,0.01281542144715786
10,model.layers.1.mlp.output,0.0016077260952442884,0.002387634478509426,0.9977457523345947,3.2023894164012745e-05
10,model.layers.1.mlp.up_proj.input,0.035752467811107635,0.04622175544500351,0.9989259839057922,0.01281542144715786
10,model.layers.1.mlp.up_proj.output,0.010690405033528805,0.013846821151673794,0.9983533024787903,0.0009658661438152194
10,model.layers.1.output,0.0026985746808350086,0.0037990545388311148,0.9988722205162048,6.695893534924835e-05
10,model.layers.1.post_attention_layernorm.input,0.0025791306979954243,0.00417010672390461,0.9991663098335266,6.621882494073361e-05
10,model.layers.1.post_attention_layernorm.output,0.035752467811107635,0.04622175544500351,0.9989259839057922,0.01281542144715786
10,model.layers.10.input,0.003907475620508194,0.005530634429305792,0.9987261891365051,0.00014708937669638544
10,model.layers.10.input_layernorm.input,0.003907475620508194,0.005530634429305792,0.9987261891365051,0.00014708937669638544
10,model.layers.10.input_layernorm.output,0.053969621658325195,0.07309078425168991,0.9982832670211792,0.05859891325235367
10,model.layers.10.linear_attn.conv1d.input,0.03182263672351837,0.04405209422111511,0.9990116953849792,4.028535842895508
10,model.layers.10.linear_attn.conv1d.output,0.004215524531900883,0.013443024829030037,0.9995920658111572,0.18509945273399353
10,model.layers.10.linear_attn.in_proj_a.input,0.053969621658325195,0.07309078425168991,0.9982832670211792,0.05859891325235367
10,model.layers.10.linear_attn.in_proj_a.output,0.06070728227496147,0.07915414124727249,0.9997009634971619,0.010137316770851612
10,model.layers.10.linear_attn.in_proj_b.input,0.053969621658325195,0.07309078425168991,0.9982832670211792,0.05859891325235367
10,model.layers.10.linear_attn.in_proj_b.output,0.05378236621618271,0.08817969262599945,0.9998416900634766,0.009817492216825485
10,model.layers.10.linear_attn.in_proj_qkv.input,0.053969621658325195,0.07309078425168991,0.9982832670211792,0.05859891325235367
10,model.layers.10.linear_attn.in_proj_qkv.output,0.03182263672351837,0.04405209422111511,0.9990111589431763,0.030064325779676437
10,model.layers.10.linear_attn.in_proj_z.input,0.053969621658325195,0.07309078425168991,0.9982832670211792,0.05859891325235367
10,model.layers.10.linear_attn.in_proj_z.output,0.028363142162561417,0.03764796629548073,0.9997451305389404,0.005771741271018982
10,model.layers.10.linear_attn.norm.input,4.862359674007166e-06,1.9243381757405587e-05,0.9988071322441101,-9.631892616823734e-09
10,model.layers.10.linear_attn.norm.output,0.0021892692893743515,0.00487118074670434,0.9970669746398926,1.064288335328456e-05
10,model.layers.10.linear_attn.out_proj.input,0.0021892692893743515,0.00487118074670434,0.9970669746398926,0.00010975007899105549
10,model.layers.10.linear_attn.out_proj.output,0.001611013663932681,0.0023640694562345743,0.9962044358253479,2.6926147256745026e-05
10,model.layers.10.linear_attn.output,0.001611013663932681,0.0023640694562345743,0.9962044358253479,2.6926147256745026e-05
10,model.layers.10.mlp.act_fn.input,0.016673216596245766,0.022469984367489815,0.9991553425788879,0.002989883068948984
10,model.layers.10.mlp.act_fn.output,0.006218648049980402,0.00940704345703125,0.9988664984703064,0.0012243080418556929
10,model.layers.10.mlp.down_proj.input,0.0024509697686880827,0.003804606618359685,0.996667206287384,7.285585888894275e-05
10,model.layers.10.mlp.down_proj.output,0.0014950089389458299,0.002001325599849224,0.9964616298675537,2.0562474674079567e-05
10,model.layers.10.mlp.gate_proj.input,0.04365360736846924,0.0583176352083683,0.9983164072036743,0.02384268492460251
10,model.layers.10.mlp.gate_proj.output,0.016673216596245766,0.022469984367489815,0.9991553425788879,0.002989883068948984
